chain,address,class,family_id,flag_usenix_matched,flag_external_blacklist,flag_phishinghook_phishing_bytecode
ethereum(implied),0xd6eee076757a9b122908e23728ccecca673eb48b,benign_general,F00230,False,False,True
ethereum(implied),0x6a900ec2d05883215c49d83aac0b2ca8c6589a1d,benign_general,F00374,False,False,True
ethereum(implied),0xb496561cb6a3c648d6de1faeadc54f8e0c05936a,benign_general,F00230,False,False,True
ethereum(implied),0xbfdb93ef77d69984c075c7d6c077362aa8947839,benign_general,F00230,False,False,True
ethereum(implied),0xad026564bc8f690831b2328cab4fccdcf0e97e00,benign_general,F00249,False,False,True
ethereum(implied),0xf9225b380347d6ce5f7eb5c0b925bab63ef90fbb,benign_general,F00629,False,False,True
arbitrum,0x111111677601ec955b89f68c2e4399ddb5a46f39,benign_cleared,F00737,False,False,True
arbitrum,0x97f6c7f4110afe7dd51d987ee1fa03f01c933834,benign_cleared,F00053,True,False,False
base,0xc0403282ba280a6670f469c136aaad86b780e098,benign_cleared,F00790,True,False,False
ethereum,0x82ef85e78d97f4ef3e4be1b7dcc744fa880425d7,benign_cleared,F01069,False,False,True
ethereum,0x1e142b1f5ea1b5b12ddb8db5d96f85aacdafb7cb,benign_cleared,F00929,True,False,False
ethereum,0x97f6c7f4110afe7dd51d987ee1fa03f01c933834,benign_cleared,F01102,True,False,False
bnb,0x55d398326f99059ff775485246999027b3197955,benign_cleared,F01156,False,True,False
