seed,fold,model,condition,AUPRC,Brier,Recall_01,FPR_01,Recall_05,FPR_05,Recall_10,FPR_10,fpr_01,fpr_05,fpr_10,temperature,best_val_AUPRC
7702,0,hist_ngram_xgb,cleanM0,0.7922066035020778,0.18392820615737504,0.2894736842105263,0.006802721088435374,0.35526315789473684,0.006802721088435374,0.5,0.047619047619047616,0.9352990090847015,0.802579790353775,0.2556492686271668,,
7702,0,sequence_only,cleanM0,0.8171954487069646,0.14780269595038692,0.28289473684210525,0.006802721088435374,0.5789473684210527,0.02040816326530612,0.6118421052631579,0.047619047619047616,0.9662205086142517,0.5149023957505701,0.11831929041282284,1.8240145444869995,0.9619024473564631
7702,1,hist_ngram_xgb,cleanM0,0.8441162648926454,0.12622886670767525,0.3493150684931507,0.01,0.7534246575342466,0.12,0.8013698630136986,0.18333333333333332,0.9517220258712769,0.24308554083108902,0.10888738185167314,,
7702,1,sequence_only,cleanM0,0.939674351188496,0.039127054530316216,0.4931506849315068,0.01,0.9383561643835616,0.03333333333333333,0.9657534246575342,0.16333333333333333,0.9432981733161832,0.647306533782686,0.04014724797378171,1.9279543161392212,0.9394347977599441
7702,2,hist_ngram_xgb,cleanM0,0.8217500612556782,0.16052209610958226,0.41379310344827586,0.014184397163120567,0.5172413793103449,0.0851063829787234,0.5172413793103449,0.0851063829787234,0.8616812825202942,0.3501408696174622,0.3501408696174622,,
7702,2,sequence_only,cleanM0,0.924723317365975,0.062258999355867636,0.8275862068965517,0.028368794326241134,0.8689655172413793,0.031914893617021274,0.8896551724137931,0.05673758865248227,0.9001500687664432,0.8533797812599299,0.5997468046745499,1.2666152715682983,0.9823907402794212
7702,3,hist_ngram_xgb,cleanM0,0.7965814112325201,0.0862484867117285,0.053763440860215055,0.0,0.4731182795698925,0.01694915254237288,0.7419354838709677,0.13559322033898305,0.9933814704418182,0.7258841693401337,0.36100798845291143,,
7702,3,sequence_only,cleanM0,0.9716927669199213,0.030046073506841197,0.6129032258064516,0.0,0.9247311827956989,0.03389830508474576,0.989247311827957,0.08757062146892655,0.9533380423507689,0.11641736853085466,0.013779272491834579,1.7252287864685059,0.987688424300575
7702,4,hist_ngram_xgb,cleanM0,0.8870682041016738,0.14616998396485748,0.5549738219895288,0.017167381974248927,0.8795811518324608,0.15021459227467812,0.8795811518324608,0.1759656652360515,0.7205397188663483,0.06046154722571373,0.031539550982415676,,
7702,4,sequence_only,cleanM0,0.9475370193970911,0.055158340014319907,0.5759162303664922,0.017167381974248927,0.9895287958115183,0.09012875536480687,0.9947643979057592,0.2703862660944206,0.873087437355748,0.4413161145015825,0.1990131595396349,2.483232021331787,0.8984712046671139
