model,condition,n_seeds,n_folds_per_seed,AUPRC_mean,AUPRC_sd,AUROC_mean,AUROC_sd,Recall_01_mean,Recall_01_sd,FPR_01_mean,FPR_01_sd,Recall_05_mean,Recall_05_sd,FPR_05_mean,FPR_05_sd,Recall_10_mean,Recall_10_sd,FPR_10_mean,FPR_10_sd,Brier_mean,Brier_sd
authguard_seq,F200,3,5,0.9198254771666982,0.006744469200014651,0.9483279360437281,0.012003992367646002,0.2766976213182078,0.01908385880591384,0.0053896849519949825,0.0003213101361531373,0.7470142271194712,0.023663019799085833,0.044993959658786886,0.011847586597853399,0.8842995187780197,0.019886628119044632,0.13792985633458946,0.003380489906602715,0.09068399373218615,0.0032211187496980005
authguard_seq,M0,3,5,0.9323929056872453,0.00576401376385249,0.966695726752904,0.007853399042280561,0.5096802791293799,0.08499441560245549,0.015093556102622465,0.0015858841679632389,0.8506696707823148,0.015191663490602702,0.04918221928034868,0.007433273915898074,0.921052012549319,0.042438064783894745,0.11668284549012635,0.0050847338197287754,0.06676771324458183,0.004868795014268211
authguard_seq,M3+F200,3,5,0.9123383794025836,0.004586201458489983,0.9474918707629314,0.007920270480068273,0.28750944599566103,0.01664517572651266,0.0074696772325951654,0.00031752509867055445,0.7452866694877628,0.023005793377963806,0.05309011042831807,0.006105790495489379,0.887180085225267,0.010756557773678496,0.1487652868285119,0.012412220388476492,0.09349617439017018,0.0010736980140483823
flat_cnn,F200,3,5,0.534967434881027,0.012893173308460869,0.6615765494733937,0.009133945205169039,0.09367292216224261,0.0028455838612941476,0.0049735291640397,0.0005612454949535526,0.19119710281770733,0.00967091506378462,0.04800077478274457,0.006318515055429353,0.27464485493374435,0.030956844749752424,0.1042063089970473,0.024543298071935525,0.22256944866700654,0.003425645288233962
flat_cnn,M0,3,5,0.8898439229001416,0.010831542268778112,0.9391567519169665,0.009180157485555462,0.4784459631721742,0.034946689289174736,0.013391936715015991,0.004162784631020374,0.7150182397767736,0.023076592050097003,0.05858107217778862,0.003105501116658892,0.7906113768020492,0.04800754195276965,0.09417668034635758,0.013537704538512819,0.10019237181482059,0.005875594901178642
flat_cnn,M3+F200,3,5,0.525281457225364,0.011204306086522824,0.659971584013819,0.010087564096914707,0.0937088203171987,0.004802306401389478,0.0028976041682119806,0.000787680705093341,0.1847771322748596,0.012554523595717256,0.04261042925688188,0.0036232335863195138,0.256986855326629,0.02809771699400258,0.10197846687122557,0.02353925771866566,0.2240113501153432,0.003023860077631934
hist_ngram_xgb,F200,3,5,0.575575417640766,0.0030715755404225513,0.719974717437235,0.0025091145340064764,0.030242092090522043,0.0033722725638431214,0.0024021244086469703,0.0006392647537906472,0.2263971110687298,0.014399356933919565,0.051667458481421534,0.006206237623635218,0.31697991929338737,0.010169320200189194,0.09562046278151455,0.004008992540842455,0.21661215703897863,0.0010866031388222957
hist_ngram_xgb,M0,3,5,0.8333278618794067,0.004312910342279872,0.9074549571808399,0.00200306443289163,0.32001202995583394,0.018919503076048786,0.011924044253198799,0.002813242743903268,0.6152720992363089,0.014772105511541657,0.07132485295747487,0.00567418855580107,0.7086570646200027,0.024949916028803275,0.11173074089641417,0.013983513645154428,0.12698331031953222,0.0034909464091217586
hist_ngram_xgb,M3+F200,3,5,0.5571018842495133,0.0068925158025831355,0.7173367757783268,0.0057889891650760375,0.023172795521859177,0.004905828381447665,0.0034071165494779774,0.001842431516035492,0.2023081572419951,0.013871651616809783,0.05658009031555999,0.007149842920697104,0.31302242734888447,0.012340288366602007,0.10003581456593034,0.007017240668788912,0.21906344552958326,0.0021405159206537177
