model,condition,n_seeds,AUPRC_mean,AUPRC_sd,AUROC_mean,AUROC_sd,Brier_mean,Brier_sd,Recall_01_mean,Recall_01_sd,FPR_01_mean,FPR_01_sd,Recall_05_mean,Recall_05_sd,FPR_05_mean,FPR_05_sd,Recall_10_mean,Recall_10_sd,FPR_10_mean,FPR_10_sd
chunk_attention_control_16384,F200,3,0.9079955367343487,0.001144006714496737,0.9365627200850919,0.0031374998769135983,0.07898864622883776,0.006109094876916758,0.5530718177562443,0.031216825212499907,0.018513214121825498,0.003393778340482542,0.8149515167124445,0.03866128142333426,0.07200962593911506,0.010174862069318585,0.8853827410380938,0.0032064956535407634,0.17117309430624808,0.015691444166001774
chunk_attention_control_2048,F200,3,0.8968183277928681,0.009136063665541094,0.9212692682071428,0.008475476622740119,0.08266618177820521,0.003630335793253296,0.5475806828389814,0.028277106265443202,0.019180052273777063,0.005002949563997952,0.8169109611619252,0.021807254185412177,0.07586634315042193,0.005821442698763295,0.874874885866303,0.0014303305456320585,0.1612289772831623,0.02419525772661212
authguard_reference_16384,F200,3,0.8940146683280673,0.00647342211365633,0.9332977033334924,0.005399644569040853,0.09639454246344359,0.006869685901313218,0.4187614673511841,0.05737911046419346,0.014800473600087466,0.004751581362324808,0.7858720330235985,0.021068836896750365,0.06102514820016134,0.018177817478290843,0.8575549008035014,0.0013970042874493272,0.12150149901519851,0.02532281106000067
flat_control_16384,F200,3,0.8100365216544095,0.013742450354021262,0.8703425474457317,0.015317680527689566,0.15553017784958156,0.008661390839060198,0.1725910898851907,0.00764266037841925,0.007051279101341862,0.0025250509310700904,0.5058825794296778,0.037644278243494395,0.0434623495584868,0.01268404553729904,0.6525743039746269,0.02409189626270817,0.11345278286114673,0.02244977706481251
chunk_mean_control_16384,F200,3,0.7280333366496811,0.019598982687546767,0.8312300990092315,0.007671459241340922,0.18407886958530373,0.010147047042997489,0.03168112827751224,0.0040634424271429655,0.0015178725433496688,0.0005959046167975387,0.2737465650569133,0.03131042217313864,0.026710325482348692,0.0023805056017454796,0.4513905166283587,0.05643107891898347,0.07151450199519666,0.016922254614847535
flat_control_2048,F200,3,0.5323923542303605,0.01702631094626998,0.6619509935828676,0.005172710709689166,0.22046173443035869,0.007750507334993583,0.06953121155988212,0.008213475223924405,0.0045451250127621625,0.0011985345311706507,0.14813377096064806,0.013296605401120671,0.02697759992330015,0.0052133381159887955,0.22018898453120697,0.04651504570380155,0.06589173830946836,0.01900205080712288
flat_control_16384,M0,3,0.9357157139795801,0.0028842010062623924,0.9724983143172349,0.002371019890714118,0.06391120195486362,0.009632977806997971,0.4677667082601596,0.010127971743744359,0.014886197831260396,0.0010977654300115042,0.8282621164135618,0.0234822544411161,0.051938460900581185,0.009739202911745673,0.9180754711486446,0.030627863538757644,0.10875158584844413,0.020516201186734164
chunk_attention_control_16384,M0,3,0.9175700608010624,0.007314672800088642,0.9454459335374089,0.010333770081494588,0.07052914304822559,0.005340689201428348,0.5950351254846986,0.020740799063669945,0.017794822092685587,0.001935643394778157,0.8318521493723366,0.032162331096513744,0.055860971802568125,0.0027516423987973787,0.8852450633468941,0.005147432585770245,0.10908353942750175,0.0062417584609696306
authguard_reference_16384,M0,3,0.913751446929627,0.013298771100516157,0.9601065772862251,0.0030733986221744684,0.0785684658904089,0.006625096129120182,0.5061074409862888,0.04655903581999469,0.018662575053459123,0.0022298077626510633,0.8444469637971279,0.016839342058345155,0.0525617806974146,0.010229384628020706,0.8837626666970327,0.005949957411584473,0.1130393183343758,0.02595181331448854
chunk_attention_control_2048,M0,3,0.9024103421859392,0.003235228172902889,0.9215253443781327,0.004063805602970466,0.07825972295036056,0.002596650596573151,0.5755074947354092,0.01934081338593381,0.017329445437428544,0.0002832581158566325,0.8258434972648941,0.022341947795798327,0.05990821016212,0.003180329496110225,0.8716385967215118,0.006761834958473456,0.10614961697683123,0.008371036718703708
flat_control_2048,M0,3,0.8791192643352627,0.005408191313890495,0.9372866830240406,0.0022846850275309557,0.10511391801326592,0.006026573598641474,0.42258983301974656,0.0302284513376678,0.015855384559155684,0.0063835103446658655,0.6582241015150982,0.01366411526213467,0.05480368962126464,0.010665918404874991,0.7467262909152929,0.03038364558547954,0.08590935268607701,0.013699727623988942
chunk_mean_control_16384,M0,3,0.8789865672311805,0.005260034740843892,0.9022746236331397,0.0077379726354861785,0.09912209722572672,0.01083500255282334,0.41488079834559777,0.04839805729928274,0.018884342938997583,0.00418378063207843,0.7917617149756321,0.04412444074560778,0.07952881741916233,0.011195957459709473,0.8704913342297292,0.018392292001615428,0.11733106927974978,0.011781723702516974
