condition,metric,left_model,right_model,delta,ci95_low,ci95_high,probability_positive,replicates,confirmation_folds,cluster
M0,AUPRC,authguard_msp_16384,chunk_attention_control_16384,-0.006932014521536828,-0.023956138531674012,0.011445982140343288,0.2535,2000,"1,2,3,4",family_id_within_fold
M0,Recall_05,authguard_msp_16384,chunk_attention_control_16384,0.03727015099783035,0.012341981880736047,0.058506473091139474,0.9995,2000,"1,2,3,4",family_id_within_fold
M0,AUPRC,authguard_msp_16384,flat_control_16384,0.003313778372310533,-0.009800447090591176,0.016718237488973445,0.7085,2000,"1,2,3,4",family_id_within_fold
M0,Recall_05,authguard_msp_16384,flat_control_16384,0.050529622020860344,0.021454750458282913,0.08298259356739339,0.9995,2000,"1,2,3,4",family_id_within_fold
M0,AUPRC,authguard_msp_16384,authguard_reference_16384,0.017946940843526354,-0.007769561199485132,0.05043688722908039,0.879,2000,"1,2,3,4",family_id_within_fold
M0,Recall_05,authguard_msp_16384,authguard_reference_16384,0.016592422440525445,-0.003503690110516758,0.0416556848458802,0.944,2000,"1,2,3,4",family_id_within_fold
F200,AUPRC,authguard_msp_16384,chunk_attention_control_16384,-0.10739478296852638,-0.14547669103907246,-0.07303568467615491,0.0,2000,"1,2,3,4",family_id_within_fold
F200,Recall_05,authguard_msp_16384,chunk_attention_control_16384,-0.2108727853457568,-0.2548275425291673,-0.1647737152402481,0.0,2000,"1,2,3,4",family_id_within_fold
F200,AUPRC,authguard_msp_16384,flat_control_16384,0.026018824905123184,0.004052915466804244,0.0530162150860176,0.989,2000,"1,2,3,4",family_id_within_fold
F200,Recall_05,authguard_msp_16384,flat_control_16384,0.15243707046822774,0.12020943211187389,0.18888816206925374,1.0,2000,"1,2,3,4",family_id_within_fold
F200,AUPRC,authguard_msp_16384,authguard_reference_16384,-0.07983463600688588,-0.10972811662866114,-0.045073620342396814,0.0,2000,"1,2,3,4",family_id_within_fold
F200,Recall_05,authguard_msp_16384,authguard_reference_16384,-0.1794576412610153,-0.2277977222888174,-0.12193319901580148,0.0,2000,"1,2,3,4",family_id_within_fold
